Master Spreadsheet Sub Area,Master Spreadsheet Topic,Policy Area,Sub Area,Topic,Summary,Comments
,x,Civil Rights,Criminal Justice Rights,Limiting State and Local Participation in Secure Communities,"Secure Communities is a program of the Dept of Homeland Security's US Immigration and Customs Enforcement (ICE) agency ostensibly intended to identify and deport dangerous non-citizens previously convicted of crimes. Whereas local and state law enforcement have traditionally run fingerprint checks for every person booked into jail against the FBI's IAFIS criminal database, Secure Communities also runs those fingerprints against DHS's IDENT database and allows ICE to request detainers on individuals who match. in fact, half the people arrested and deported under S-Comm or more have not previously been convicted of a serious crime. By subjecting individuals with no or minor criminal convictions to deportation, S-Comm disrupts families and communities, encourages racial and ethnic profiling, and burdens taxpayers. After originally agreeing to allow communities to opt-out of the program, DHS subsequently refused to allow opting out and in 2013 will make participation mandatory. Cook County, IL has refused to cooperate with the program and both California and DC have passed legislation limiting local compliance. ",
Lgbtq Rights,Marriage Equality,Civil Rights,LGBTQ Rights,Marriage Equality,,
,,Civil Rights,Housing Rights,Non-Discrimination Against Affordable Housing,,
Lgbtq Rights,Hate Crime Legislation,Civil Rights,LGBTQ Rights,Preventing Hate Crimes,,
,,Civil Rights,People of Color Rights,Preventing Hate Crimes,,
,x,Civil Rights,LGBTQ Rights,Prohibiting Public Contracts to Discriminating Contractors,,
Eliminate Racial Bias in Criminal Justice System,Address Racial Disparity in Death Penalty Sentencing,Civil Rights,People of Color Rights,Racial Disparity in Death Penalty Sentencing,,
Eliminate Racial Bias in Criminal Justice System,"Require Racial Impact Statements For All Legislation That Affects Sentencing, Probation Or Parole Policies",Civil Rights,People of Color Rights,"Racial Impact Statements Regarding Sentencing, Probation or Parole",,
,,Civil Rights,Criminal Justice Rights,Re-Enfranchise Ex-Felons,,
,,Civil Rights,Criminal Justice Rights,Recording Interrogations,,
Lgbtq Rights,Second Parent Adoption Laws,Civil Rights,LGBTQ Rights,Second Parent Adoption Laws,,
,,Civil Rights,Civil Liberties,State Statute Enabling Municipalities to Enact Anti-Discrimination Laws,,
,,Civil Rights,LGBTQ Rights,State Statute Enabling Municipalities to Enact Anti-Discrimination Laws,,
,,Civil Rights,People of Color Rights,State Statute Enabling Municipalities to Enact Anti-Discrimination Laws,,
,,Civil Rights,Women's Rights,State Statute Enabling Municipalities to Enact Anti-Discrimination Laws,,
Eliminate Racial Bias in Criminal Justice System,Stop Racial Profiling By Police,Civil Rights,People of Color Rights,Stop Racial Profiling by Police,"People of color are disproportionately subject to police action. A number of states have passed legislation both to prohibit racial profiling and to collect statistics on arrests and the stopping of cars. For example, New Jersey enacted a law in 2003 that makes racial profiling by police a felony, while North Carolina makes all data collected on profiling by the police available to the public.",
,,Civil Rights,Disability Rights,Universal Design on Accessible and Usable Buildings,,
Specific Development initiatives,Agricultural Cooperative Subsidies,Economic and Workforce Development,Rural Development,Agricultural Cooperative Subsidies,,
,,Economic and Workforce Development,Shared Capitalism and Ownership,Agricultural Cooperative Subsidies,,
Workforce Development,Aligning Skills and Jobs,Economic and Workforce Development,Workforce Development,Aligning Skills and Jobs,,
,,Economic and Workforce Development,Green Development,Alternative Energy Trust Fund,"Bill creates a trust fund to finance the activities of a clean energy technology center and to make investments in clean energy RandD, manufacturing, education, and programs.",
,,Economic and Workforce Development,Rural Development,Anti-Corporate Farming,"To counter corporate ownership, nine states have placed some sort of restrictions on corporate-owned farms. Two -- Nebraska and South Dakota--have anti-corporate farming restrictions written into their constitutions. (These have since been ruled unconstitutional.) The other seven--Iowa, Kansas, Missouri, Minnesota, Oklahoma, North Dakota and Wisconsin--have statutes restricting corporate involvement in agriculture, though most include loopholes that dilute the impact of the ban. Kansas, however, does allow counties to vote on whether to oppose corporate farming, and over 20 have done so.",
,,Economic and Workforce Development,Shared Capitalism and Ownership,Anti-Corporate Farming,"To counter corporate ownership, nine states have placed some sort of restrictions on corporate-owned farms. Two -- Nebraska and South Dakota--have anti-corporate farming restrictions written into their constitutions. (These have since been ruled unconstitutional.) The other seven--Iowa, Kansas, Missouri, Minnesota, Oklahoma, North Dakota and Wisconsin--have statutes restricting corporate involvement in agriculture, though most include loopholes that dilute the impact of the ban. Kansas, however, does allow counties to vote on whether to oppose corporate farming, and over 20 have done so.",
Access To Capital,increased Banking in Low income Communities,Economic and Workforce Development,Access to Capital,Banking in Low Income Communities,"Cleveland Ordinance (Sect. 178.05-09 of municipal code): in order to contract with the city, banks must submit plans and have plans approved re: how the bank will increase its home/small business loans and other banking services to the city's residents, esp. low income residents",
,,Economic and Workforce Development,Access to Capital,Banking with Credit Unions,,
,,Economic and Workforce Development,Shared Capitalism and Ownership,Banking with Credit Unions,,
Specific Development initiatives,Benefit Corporations,Economic and Workforce Development,Shared Capitalism and Ownership,Benefit Corporations,,
Specific Development initiatives,Big Box Retailing,Economic and Workforce Development,"Transparency, Accountability and Standards",Big Box Retailing,,
,,Economic and Workforce Development,Local and Regional Development,Buy American,,
Sectoral Strategies,Centers of Excellence,Economic and Workforce Development,Sectoral Strategies,Centers of Excellence,,
,,Economic and Workforce Development,Workforce Development,Centers of Excellence,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Community Benefits Agreement,,
,,Economic and Workforce Development,Neighborhood Development,Community Broadband Infrastructure,,
Economic Development Accountability / Standards,Community Impact Report,Economic and Workforce Development,"Transparency, Accountability and Standards",Community Impact Report,,
Specific Development initiatives,Cooperative Development,Economic and Workforce Development,Shared Capitalism and Ownership,Cooperative Development,,
,,Economic and Workforce Development,Shared Capitalism and Ownership,Cooperative Procurement,,
,,Economic and Workforce Development,Shared Capitalism and Ownership,Cooperative Wind,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Corporate Tax Disclosure Requirements,,
Specific Development initiatives,Creative Economy/ Arts District,Economic and Workforce Development,Neighborhood Development,Creative Economy District,,
Economic Development Accountability / Standards,Detailed Subsidy Or Bid Application From Corporations,Economic and Workforce Development,"Transparency, Accountability and Standards",Detailed Corporate Subsidy and Bid Application,,
,,Economic and Workforce Development,Workforce Development,Early Child Care Educator Wage Ladder,,
,,Economic and Workforce Development,Workforce Development,Early College High School Initiative,,
,,Economic and Workforce Development,Access to Capital,Economic Development Incentive Grant,,
,,Economic and Workforce Development,Local and Regional Development,Economic Development Incentive Grant,,
,,Economic and Workforce Development,Access to Capital,Economic Development Omnibus Bills,,
Economic Development Accountability / Standards,"Economic Development - Good Omnibus Bills (Reporting, Minimum Stds., Clawbacks)",Economic and Workforce Development,"Transparency, Accountability and Standards",Economic Development Omnibus Bills,,
,,Economic and Workforce Development,Workforce Development,Economic Development Omnibus Bills,,
Specific Development initiatives,Employee Ownership Linked Deposit Program,Economic and Workforce Development,Shared Capitalism and Ownership,Employee Ownership Linked Deposit Program,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",End Sales Tax Subsidy Abuse,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",End Use of Abusive Tax Shelters,,
,,Economic and Workforce Development,Green Development,Feed-in-Tariff,,
,,Economic and Workforce Development,Neighborhood Development,Foreclosure Rescue Fraud Prevention,,
,,Economic and Workforce Development,Workforce Development,Free Laptops in Public Schools,,
,,Economic and Workforce Development,Neighborhood Development,Full Service Community Schools,,
,,Economic and Workforce Development,Access to Capital,Green Banks,,
,,Economic and Workforce Development,Green Development,Green Banks,,
,,Economic and Workforce Development,Access to Capital,Green Economy Priority for Redevelopment Grants,,
,,Economic and Workforce Development,Green Development,Green Economy Priority for Redevelopment Grants,,
,,Economic and Workforce Development,Access to Capital,Green Economy State Agency Report,,
,,Economic and Workforce Development,Green Development,Green Economy State Agency Report,,
Workforce Development,Green Jobs Task Force,Economic and Workforce Development,Workforce Development,Green Jobs Task Force,,
Workforce Development,Green Jobs Training,Economic and Workforce Development,Workforce Development,Green Jobs Training,,
Workforce Development,High-Road Apprenticeships,Economic and Workforce Development,Workforce Development,High Road Apprenticeships,,
Workforce Development,Higher Ed- Credit For Prior Learning,Economic and Workforce Development,Workforce Development,Higher Education Credit for Prior Learning,,
Specific Development initiatives,Historically Underutilized Business Bonding,Economic and Workforce Development,"Minority-, Disadvantaged-, and Women-Owned Businesses",Historically Underutilized Business Bonding,,
,,Economic and Workforce Development,Workforce Development,In-State Tuition and Aid for Qualified Undocumented Students,"Currently, federal law prohibits states from granting unauthorized aliens certain postsecondary educational benefits on the basis of state residence, unless equal benefits are made available to all U.S. citizens. This prohibition is commonly understood to apply to the granting of “in-state” residency status for tuition purposes. Legislation to amend this federal law has routinely been introduced in previous Congresses, and several similar bills have been introduced in the 111th Congress, including H.R. 1751, S. 729, and H.R. 4321. Meanwhile, some states have passed laws aimed at making unauthorized state residents eligible for in-state tuition without violating this provision. . ",
Sectoral Strategies,industry Partnerships,Economic and Workforce Development,Sectoral Strategies,Industry Partnerships,,
,,Economic and Workforce Development,Workforce Development,Industry Partnerships,,
Access To Capital ,infrastructure Bank,Economic and Workforce Development,Access to Capital,Infrastructure Bank,,
Access To Capital,infrastructure investment/Tax Credits,Economic and Workforce Development,Access to Capital,Infrastructure Tax Credits,,
,,Economic and Workforce Development,Local and Regional Development,International Trade Agreements,,
Access To Capital,Labor-Sponsored investment Pools,Economic and Workforce Development,Access to Capital,Labor Sponsored Investment Pools,,
,,Economic and Workforce Development,Neighborhood Development,Land Banking,,
Workforce Development,Lifelong Learning Accounts,Economic and Workforce Development,Workforce Development,Lifelong Learning Accounts,,
Specific Development initiatives,Limited Liability Low Profit Company (L3c),Economic and Workforce Development,Shared Capitalism and Ownership,Limited Liability Low Profit Company,,
,,Economic and Workforce Development,Neighborhood Development,Link Community Indicators with Government Performance Measures,,
,,Economic and Workforce Development,Local and Regional Development,Local and Organic Food Purchasing Policy,,
,,Economic and Workforce Development,Access to Capital,Local Farm Product Tax Credit for Grocers,,
,,Economic and Workforce Development,Local and Regional Development,Local Farm Product Tax Credit for Grocers,,
Specific Development initiatives,Local Farm Product Tax Credit For Grocers,Economic and Workforce Development,Rural Development,Local Farm Product Tax Credit for Grocers,,
,,Economic and Workforce Development,Local and Regional Development,Local Food Procurement,,
Access To Capital,Local Lending Preferences/Move State Deposits From Out-of-State Multinational Banks To in-State/Community Banks (Mym),Economic and Workforce Development,Access to Capital,Local Lending Preferences,,
,,Economic and Workforce Development,Local and Regional Development,Local Purchasing Preferences,,
Specific Development initiatives,Location Efficient Economic Development Subsidies,Economic and Workforce Development,Local and Regional Development,Location Efficient Subsidies,,
,,Economic and Workforce Development,Neighborhood Development,Maintenance of Foreclosed Properties,,
,,Economic and Workforce Development,Neighborhood Development,Mandatory Foreclosure Mediation,,
,,Economic and Workforce Development,Access to Capital,MicroEnergy Loan Program,,
,,Economic and Workforce Development,Green Development,MicroEnergy Loan Program,,
Specific Development initiatives,Microenterprise Development,Economic and Workforce Development,Small Business Support,Microenterprise Development,,
Workforce Development,Middle Skills Solutions Act,Economic and Workforce Development,Workforce Development,Middle Skills Solutions,,
Wage and Labor Standards,Municipal Business Registry,Economic and Workforce Development,"Transparency, Accountability and Standards",Model Statute on Disclosure of Reportable Transactions,,
Economic Development Accountability / Standards,Multi-Parcel Development Standards,Economic and Workforce Development,"Transparency, Accountability and Standards",Multi-Parcel Development Standards,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Municipal Business Registry,,
Specific Development initiatives,Municipal Cooperative Development Agreements,Economic and Workforce Development,Shared Capitalism and Ownership,Municipal Cooperative Development Agreements,,
,,Economic and Workforce Development,Green Development,Open Space Development,,
,,Economic and Workforce Development,Neighborhood Development,Open Space Development,,
Economic Development Accountability / Standards,Local Gov't Report On Property Tax Reduction and Abatement,Economic and Workforce Development,"Transparency, Accountability and Standards",Property Tax Reduction and Abatement Report,,
,,Economic and Workforce Development,Workforce Development,Reduce Assets Limits on Temporary Assistance for Needy Families (TANF) Recipients,,
Access To Capital,Regional investment Via Private Equity Funds,Economic and Workforce Development,Access to Capital,Regional Investment via Private Equity Funds,,
,,Economic and Workforce Development,Local and Regional Development,Regional Tax Base Sharing,,
,,Economic and Workforce Development,Neighborhood Development,Rehab to Rent,,
,,Economic and Workforce Development,Green Development,Renewable Energy Portfolio Standards,,
,,Economic and Workforce Development,Access to Capital,Responsible Banking,,
,,Economic and Workforce Development,Neighborhood Development,Right to Rent,,
,,Economic and Workforce Development,Rural Development,Rural Broadband,,
Workforce Development,Skills For Jobs (Higher Ed),Economic and Workforce Development,Workforce Development,Skills for Jobs,,
Sectoral Strategies,Skills Panels,Economic and Workforce Development,Sectoral Strategies,Skills Panels,,
,,Economic and Workforce Development,Workforce Development,Skills Panels,,
,,Economic and Workforce Development,Access to Capital,Small Business Tax Credits,,
,,Economic and Workforce Development,Small Business Support,Small Business Tax Credits,,
Specific Development initiatives,Social Entrepreneurship Task Force,Economic and Workforce Development,Shared Capitalism and Ownership,Social Entrepreneurship Task Force,,
Clean Energy investment,State Clean Energy Agency ,Economic and Workforce Development,Green Development,State Clean Energy Agency,,
Access To Capital,State Partnership Bank/ Creating State Banks/investment Funds,Economic and Workforce Development,Access to Capital,State Partnership Bank,,
Access To Capital,State Pension Fund Economically Targeted investment,Economic and Workforce Development,Access to Capital,State Pension Fund Investment in Economically Targeted Areas,,
Access To Capital,State Pension Fund investment in State Firms,Economic and Workforce Development,Access to Capital,State Pension Fund Investment in State Firms,,
Access To Capital,State Venture Fund,Economic and Workforce Development,Access to Capital,State Venture Fund,,
Sectoral Strategies,Statewide industry Sector initiative,Economic and Workforce Development,Sectoral Strategies,Statewide Industry Sector Initiative,,
,,Economic and Workforce Development,Workforce Development,Statewide Industry Sector Initiative,,
Economic Development Accountability / Standards,Clawbacks of Subsidies,Economic and Workforce Development,"Transparency, Accountability and Standards",Subsidy Clawbacks,,
Economic Development Accountability / Standards,Subsidy Limits and Job Quality Standards,Economic and Workforce Development,"Transparency, Accountability and Standards",Subsidy Limits and Job Quality Standards,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Subsidy Transparency and Clawbacks,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Sunset Sales Tax Exemptions,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Sunset Tax Expenditures,,
,,Economic and Workforce Development,Neighborhood Development,Tax Breaks for Grocery Stores that Locate in Food Deserts,,
Workforce Development,Tax Credit For in-State College and Work,Economic and Workforce Development,Workforce Development,Tax Credit for In-State College and Work,,
,,Economic and Workforce Development,Workforce Development,Teacher Development,,
,,Economic and Workforce Development,Neighborhood Development,Tenant Rights in Foreclosure,,
Specific Development initiatives,Timber Supply Stabilization,Economic and Workforce Development,Rural Development,Timber Supply Stabilization,,
Workforce Development,Granting Associates Degrees To Students Who Transfer From 2yr institutions,Economic and Workforce Development,Workforce Development,Transfer Associate Degree,,
,,Economic and Workforce Development,Local and Regional Development,Transit-Oriented Development,,
,,Economic and Workforce Development,Workforce Development,Transitional Jobs,,
Workforce Development,Two-Year Post- Secondary Guarantees For Qualifying Students,Economic and Workforce Development,Workforce Development,Two Year Post-Secondary Guarantees for Qualifying Students,,
Economic Development Accountability / Standards,Reporting On Corporate Subsidies / Unified Development Budgets,Economic and Workforce Development,"Transparency, Accountability and Standards",Unified Development Budgets,,
,,Economic and Workforce Development,"Transparency, Accountability and Standards",Unified Economic Development Budget and Reporting,,
,,Economic and Workforce Development,Urban Development,Urban Farming,,
,,Economic and Workforce Development,Neighborhood Development,Value Capture Finance,,
,,Economic and Workforce Development,Neighborhood Development,Youth Development Fund,,
,,Economic and Workforce Development,Workforce Development,Youth Development Fund,,
Housing Rights and Protections: Affordable Housing,Accessory Dwelling Units,Economic Security,Housing,Accessory Dwelling Units,,
,,Economic Security,Low Income Assistance,Banking in Low Income Communities,,
,,Economic Security,Savings and Retirement,Banking in Low Income Communities,,
Consumer Protection and Rights,Consumer Contract Right To Know ,Economic Security,Consumer Rights and Protections,Consumer Contract Right to Know ,,
Consumer Protection and Rights,Debt Settlement Reform,Economic Security,Consumer Rights and Protections,Debt Settlement Reform,,
Protections For Low- income/ Vulnerable Populations,Enact State Eitc and Other Progressive Tax Reforms,Economic Security,Low Income Assistance,Earned income Tax Credit and Tax Exemptions,,
Housing Rights and Protections: Affordable Housing,Employer-Assisted Housing Tax Credit,Economic Security,Housing,Employer-Assisted Housing Tax Credit,,
Consumer Protection and Rights,"End ""Zombie Debt""",Economic Security,Consumer Rights and Protections,End Zombie Debt,,
,,Economic Security,Housing,End Zombie Debt,,
,,Economic Security,Housing,Equal Access to Housing Services,,
Consumer Protection and Rights,Mandatory Arbitration Must Be Equitable,Economic Security,Consumer Rights and Protections,Equitable Mandatory Arbitration,,
Housing Rights and Protections: Foreclosure,Foreclosure Rescue Fraud Prevention,Economic Security,Housing,Foreclosure Rescue Fraud Prevention,,
Consumer Protection and Rights,Gift Card Consumer Protection,Economic Security,Consumer Rights and Protections,Gift Card Consumer Protection,,
Housing Rights and Protections: Affordable Housing,Homeless Housing Program,Economic Security,Housing,Homeless Housing Program,,
Housing Rights and Protections: Affordable Housing,Housing and Transportation Affordability index,Economic Security,Housing,Housing and Transportation Affordability Index,,
Housing Right and Protections: Fair Housing/ Discrimination Prevention,Housing Discrimination,Economic Security,Housing,Housing Discrimination,,
Housing Rights and Protections: Affordable Housing,Housing Trust Funds,Economic Security,Housing,Housing Trust Funds,,
Housing Rights and Protections: Affordable Housing,inclusionary Zoning,Economic Security,Housing,Inclusionary Zoning,,
,,Economic Security,Low Income Assistance,Individual Development Accounts,,
Savings/ Retirement,individual Development Accounts,Economic Security,Savings and Retirement,Individual Development Accounts,,
Housing Rights and Protections: Affordable Housing,Land Bank - Fast Track Authority,Economic Security,Housing,Land Banking,,
,,Economic Security,Savings and Retirement,Lifelong Learning Accounts,,
Affordable Housing,Comprehensive Permit Act (Local Permitting For Affordable Housing),Economic Security,Housing,Local Permitting for Affordable Housing,,
,,Economic Security,Low Income Assistance,Low Income Access to Farmers' Markets,,
Housing Rights and Protections: Affordable Housing,Low income Housing - Analysis,Economic Security,Housing,Low Income Housing Analysis,,
Housing Rights and Protections: Foreclosure,Maintenance of Foreclosed Properties,Economic Security,Housing,Maintenance of Foreclosed Properties,,
Housing Rights and Protections: Foreclosure,Mandatory Foreclosure Mediation,Economic Security,Housing,Mandatory Foreclosure Mediation,,
,,Economic Security,Low Income Assistance,Mandatory Generic Drugs for Medicaid,,
,,Economic Security,Low Income Assistance,Medicaid Coverage,,
Affordable Housing,Metropolitan Affordable Housing Requirement,Economic Security,Housing,Metropolitan Affordable Housing Requirement,,
,,Economic Security,Housing,Mobile Home Tenant Protection,,
Housing Rights and Protections: Affordable Housing,Mortgage Assistance To Public Teachers (and Other Public Employees),Economic Security,Housing,Mortgage Assistance to Public Employees,,
Housing Right and Protections: Fair Housing/ Discrimination Prevention,Non-Discrimination Against Affordable Housing,Economic Security,Housing,Non-Discrimination Against Affordable Housing,,
Consumer Protection and Rights,Payday Lending Reform,Economic Security,Consumer Rights and Protections,Payday Lending Reform,,
Consumer Protection and Rights,Plain Language Requirements in Contracts,Economic Security,Consumer Rights and Protections,Plain Language Requirements in Contracts,,
,,Economic Security,Consumer Rights and Protections,Predatory Mortgage Lending,,
,,Economic Security,Housing,Predatory Mortgage Lending,,
Unemployment Protections/ insurance,No Discrimination Based On (Un)Employed Status,Economic Security,Unemployment Rights and Protections,Prohibiting Discrimination Against Job Applicants Based on Their Current Employment Status,,
,x,Economic Security,Consumer Rights and Protections,Protection from Power of Attorney Abuse ,,
,,Economic Security,Low Income Assistance,Reduce Assets Limits on Temporary Assistance for Needy Families (TANF) Recipients,,
Consumer Protection and Rights,Uniform Power of Attorney Act,Economic Security,Savings and Retirement,Reduce Assets Limits on Temporary Assistance for Needy Families (TANF) Recipients,,
Affordable Housing,Housing: Rehab To Rent,Economic Security,Housing,Rehab to Rent,,
,,Economic Security,Housing,Right to Rent,,
Housing Rights and Protections: Tenants Rights,Section 8 Voucher Discrimination,Economic Security,Housing,Section 8 Voucher Discrimination Prevention,,
,,Economic Security,Low Income Assistance,Section 8 Voucher Discrimination Prevention,,
,,Economic Security,Low Income Assistance,Social Security Income and Social Security Disability Income Tax Credit,,
Savings/ Retirement,Social Security,Economic Security,Savings and Retirement,Social Security Reform,,
,,Economic Security,Low Income Assistance,State Medicaid Coverage of Emergency Contraception,,
,,Economic Security,Housing,Tenant Rights in Foreclosure,,
Protections For Low- income/ Vulnerable Populations,Transitional Jobs,Economic Security,Low Income Assistance,Transitional Jobs,,
Unemployment Protections/ insurance,Modernizing Ui – Alternative Base Period,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Alternative Base Period,,
Unemployment Protections/ insurance,Modernizing Ui - Children's Allowance,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Children's Allowance,,
Unemployment Protections/ insurance,Modernizing Ui - Eligibility For Leaving Job For Family Reasons,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Coverage for Family Leave,,
Unemployment Protections/ insurance,Modernizing Ui- Coverage For independent Contractors,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Coverage For independent Contractors,,
Unemployment Protections/ insurance,Modernizing Ui –Ui For Part-Time Workers,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Coverage For Part-Time Workers,,
Unemployment Protections/ insurance,Modernizing Ui-Eligibility For Domestic Violence Victims,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Coverage For Victims of Domestic Violence,,
Unemployment Protections/ insurance,Ui Solvency,Economic Security,Unemployment Rights and Protections,Unemployment Insurance Solvency ,,
Housing Rights and Protections: Tenants Rights,Uniform Partition of Heirs Property Act,Economic Security,Housing,Uniform Partition of Heirs Property Act,,
Housing Right and Protections: Fair Housing/ Discrimination Prevention,Universal Design On Accessible and Usable Buildings,Economic Security,Housing,Universal Design on Accessible and Usable Buildings,,
Savings/ Retirement,Universal Voluntary Accounts/Auto-Iras,Economic Security,Savings and Retirement,Universal Voluntary Accounts,,
Unemployment Protections/ insurance,Work Share,Economic Security,Unemployment Rights and Protections,Work Share,,
,,Economic Security,Unemployment Rights and Protections,Worker Adjustment and Retraining Notification (WARN),,
Resources For School/ Funding/ Support,Adequacy Based School Funding,Education,School Funding and Resources,Adequacy Based School Funding,,
Resources For School/ Funding/ Support,After-School Programs,Education,School Funding and Resources,After-School Programs,,
,,Education,Higher Education,Aligning Skills and Jobs,,
Education Rights,Anti-Bullying/Anti-Harrassment/Anti-Cyberbullying,Education,Education Rights,Anti-Bullying,Act prohibiting harassment or discrimination on the basis of any personal characteristic and establishing procedures for responding to complaints,
Curriculum and Programming,Assessment and Testing,Education,School Performance,Assessment and Testing,,
,,Education,Higher Education,Centers of Excellence,,
Teaching,Collective Bargaining For Child Care Workers,Education,Teaching,Collective Bargaining for Child Care Workers,,
,,Education,Curriculum and Programming,Comprehensive Sex and HIV Education,,
,,Education,Curriculum and Programming,Dating Violence Education,,
,,Education,Teaching,Day Care Worker Unionization Rights,,
Teaching,Early Child Care Educator Wage Ladder,Education,Teaching,Early Child Care Educator Wage Ladder,,
Curriculum and Programming,Early College High School initiative (Dual Credit),Education,Curriculum and Programming,Early College High School Initiative,,
,,Education,Higher Education,Early College High School Initiative,,
,,Education,Higher Education,Economic Development Omnibus Bills,,
,,Education,Education Rights,Environmental Protections in Schools,,
Resources For School/ Funding/ Support,Equalized School Funding,Education,School Funding and Resources,Equalized School Funding,,
,,Education,Education Rights,Expand Availability and Affordability of Childcare,,
,,Education,School Funding and Resources,Expand Availability and Affordability of Childcare,,
Resources For School/ Funding/ Support,Free Laptops in Public Schools,Education,School Funding and Resources,Free Laptops in Public Schools,,
,,Education,Curriculum and Programming,Full Service Community Schools,,
Resources For School/ Funding/ Support,Full Service Community Schools,Education,School Funding and Resources,Full Service Community Schools,,
,,Education,Higher Education,Green Jobs Training,,
,,Education,Curriculum and Programming,Green Schools,,
Resources For School/ Funding/ Support,Healthy Food in School Cafeterias,Education,School Funding and Resources,Healthy Food in School Cafeterias,,
,,Education,Education Rights,Healthy Food Zones Around Schools,,
,,Education,Higher Education,High Road Apprenticeships,,
Curriculum and Programming,Civics Education Curricula For All High Schools,Education,Curriculum and Programming,High School Civics Education,,
,,Education,Higher Education,Higher Education Credit for Prior Learning,,
,,Education,Higher Education,In-State Tuition and Aid for Qualified Undocumented Students,,
,,Education,Higher Education,Industry Partnerships,,
,,Education,Higher Education,Lifelong Learning Accounts,,
Resources For School/ Funding/ Support,Lower Class Sizes,Education,School Funding and Resources,Lower Class Sizes,,
,,Education,Curriculum and Programming,Media Literacy,,
,,Education,Higher Education,Middle Skills Solutions,,
,,Education,Teaching,Mortgage Assistance to Public Employees,,
Curriculum and Programming,Nutrition At School,Education,Curriculum and Programming,Nutrition at School,,
,,Education,Higher Education,Reduce Assets Limits on Temporary Assistance for Needy Families (TANF) Recipients,,
Resources For School/ Funding/ Support,Lowing The Majority Required To Approve of Local School Boards,Education,School Boards,School Board Election Reform,,
Curriculum and Programming,Sexuality Education,Education,Curriculum and Programming,Sex and Sexuality Education,,
,,Education,Higher Education,Skills for Jobs,,
,,Education,Higher Education,Skills Panels,,
Resources For School/ Funding/ Support,Smaller Schools,Education,School Funding and Resources,Small Schools Incentives,,
,,Education,School Funding and Resources,State Gambling Revenue for Education,,
,,Education,Higher Education,Statewide Industry Sector Initiative,,
,,Education,Higher Education,Tax Credit for In-State College and Work,,
,,Education,School Performance,Teacher and School Evaluation Standards,,
Teaching,School Evaluation and Dismissal For Unqualified Teachers,Education,Teaching,Teacher and School Evaluation Standards,,
,,Education,Higher Education,Teacher Development,,
Teaching,Teacher Development ,Education,Teaching,Teacher Development,,
,,Education,Education Rights,Time off for Children's Educational Activities,,
,,Education,Higher Education,Transfer Associate Degree,,
