"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Bill Number","Web Folder Link to Bill PDF","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History"
"Voting and Elections","Voter registration","Election Day Registration","Election Day Registration","Model Election Day Legislation",,,,,"Progressive States Network","http://www.progressivestates.org/",,"Model","State","Bill","http://www.progressivestates.org/sync/pdfs/EDR%20model%20legislation%20revised%204-09.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Election_Day_Registration/Model_Election_Day_Legislation.pdf",,"This bill authorizes polling place election day voter registration and includes procedures for registering, including acceptable item for the purpose of proving residency.  This bill authorizes the same procedures listed for election day registration for updating address information and for registering when a person's name, who has already registered, cannot be found on the voter registry.",,
"Voting and Elections","Voter registration","Election Day Registration","Election Day Registration","1973 Minnesota Chapter 676",,,,1973,"Minnesota legislature","http://www.leg.state.mn.us/","Minnesota","Exemplary","State","Act","https://www.revisor.leg.state.mn.us/data/revisor/law/1973/0/1973-676.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Election_Day_Registration/1973_Minnesota_Chapter_676.pdf",,"This act authorizes any eligible voter to register on election day by completing a registration card, making an oath in the form prescribed by the commissioner and providing proof of his residence. An individual may prove his residence by (1) the showing of his drivers license or nonqualification certificate or (2) providing any document approved by the commissioner as proper identification, or C3) having an individual who is registered to vote in the precinct sign an oath in the presence of the election judge that he personally knows that the applicant is a resident of the precinct. Forms for the card and oath shall be available at each polling place.",,
"Voting and Elections","Voter registration","Election Day Registration","Election Day Registration","Provisional Voting Model Bill",,,,2012,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/2010%20Issues%20in%20Election%20Administration/2010%20Provisional%20Voting%20Model%20Bill.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Election_Day_Registration/Provisional_Voting_Model_Bill.pdf",,"This bill authorizes that issuance of provisional ballots for a person who would otherwise be denied an opportunity to vote a regular ballot and requires that provisional ballots be distinguishable from regular ballots, be designed so that they are unable to be tallied by precinct voting machines, and be designed so as to serve as a voter registration application.  This bill requires that poll workers be trained to administer provisional voting in an accurate and consistent manner and that poll workers make every effort to establish a person's correct polling place before issuing a provisional ballot.  This bill establishes polling place procedures and requires for distribution and receipt of provisional ballots and the number of ballots required at each polling place.",,
"Voting and Elections","Electoral districts","End prison-based gerrymandering","End Prison-Based Gerrymandering","Ending Prison-based Gerrymandering Model Act",,,,,"Prison Policy Initiative","http://www.prisonpolicy.org/","Oregon","Model","State","Bill","http://www.prisonersofthecensus.org/models/example.html","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/Ending_Prison-based_Gerrymandering_Model_Act.pdf",,"This bill requires the state Department of Corrections to, over time, improve its collection of home address information, and develop procedures to use existing data to adjust the federal census prior to redistricting in order to end prison-based gerrymandering without waiting for the United States Census Bureau to change where it counts incarcerated people.",,
"Voting and Elections","Electoral districts","End prison-based gerrymandering","End Prison-Based Gerrymandering","2010 Maryland Chapter 67","No Representation without Population Act",,,2010,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State","Act","http://mlis.state.md.us/2010rs/chapters_noln/Ch_67_hb0496T.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_Maryland_Chapter_67.pdf",,"This act requires incarcerated individuals to be counted in population counts at there last known address if the individuals were residents of the State before incarceration; and prohibits incarcerated individuals from being included in the population counts used after each decennial census for the purpose of creating a specified congressional districting plan and the legislative districting plan for the General Assembly and the legislative districts that are used to elect the governing body of a county or a municipal corporation.",,"http://mlis.state.md.us/2010rs/billfile/hb0496.htm#History"
"Voting and Elections","Electoral districts","End prison-based gerrymandering","End Prison-Based Gerrymandering","2010 Delaware Chapter 472",,,,2010,"Delaware legislature","http://legis.delaware.gov/","Delaware","Exemplary","State","Act","http://delcode.delaware.gov/sessionlaws/ga145/Chp472.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_Delaware_Chapter_472.pdf",,"This act provides that the General Assembly may not count as part of the population in a given district boundary any incarcerated individual who was not a resident of the State prior to the individual’s incarceration.  In addition, the Act requires that an individual who was a resident of the State of Delaware prior to incarceration be counted at the individual’s last known residence prior to incarceration, as opposed to at the address of the correctional facility. ",,"http://legis.delaware.gov/LIS/LIS145.nsf/vwLegislation/HB+384?Opendocument"
"Voting and Elections","Electoral districts","End prison-based gerrymandering","End Prison-Based Gerrymandering","2010 New York Chapter 57",,,,2010,"New York legislature ","http://assembly.state.ny.us/","New York","Exemplary","State","Act","http://assembly.state.ny.us/leg/?default_fld=&bn=A09710&term=2009&Actions=Y&Text=Y","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_New_York_Chapter_57.pdf",,"Part xx of this act requires the department of corrections to collect residence data on all incarcerated inmates, including the address at which an inmate resided prior to incarceration, to be used to indicate an inmate's place of residence for any decennial census which is taken but in which the United States bureau of the census does not implement a policy of reporting incarcerated persons at each such person's residential address prior to incarceration.  This act establishes procedures and regulations for collecting and transferring data.",,"http://assembly.state.ny.us/leg/?default_fld=&bn=A09710&term=2009&Actions=Y"
"Voting and Elections","Voter Rights","End voter intimidation and caging","End Voter Intimidation and Caging","Model Caging Prohibition Act",,,,2010,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/2010%20Issues%20in%20Election%20Administration/Voter%20Caging%20-%20Model%20Bill.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/Model_Caging_Prohibition_Act.pdf",,"This bill prohibits the use of voter caging as a means to remove a name from the state voter registration list and requires that all registration challenges not made by an election official be by a registered voter in the precinct where the challenge is being made, supported by personal, first-hand knowledge regarding the grounds for ineligibility, documented in writing, and attested to under penalty of perjury that the individual who is the subject of the challenge is ineligible to register to vote or vote in that election because.  The bill requires that any challenge must be made at least 30 days prior to the election, at least 14 days before the election, the Board of Elections must hold a public hearing, at which the challenger must appear and present the grounds for the challenge, and the Board shall render its decision and communicate it to the voter at least 7 days before the election.","Voter suppression",
"Voting and Elections","Voter Rights","End voter intimidation and caging","End Voter Intimidation and Caging","2007 Virginia Chapter 313",,,,2007,"Virginia legislature","http://legis.state.va.us/","Virginia","Exemplary","State","Act","http://leg1.state.va.us/cgi-bin/legp504.exe?071+ful+CHAP0313+pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2007_Virginia_Chapter_313.pdf",,"This act prohibits communication by any person to a registered voter, by any means, of false information, knowing the same to be false, intended to impede the voter in the exercise of his right to vote a class. The provisions of this section shall apply to information only about the date, time, and place of the election or the voter's precinct, polling place, or voter registration status","Voter suppression, House Bill 1835","http://leg1.state.va.us/cgi-bin/legp504.exe?071+sum+HB1835"
"Voting and Elections","Voter Rights","End voter intimidation and caging","End Voter Intimidation and Caging","2005 Minnesota Chapter 156",,,,2005,"Minnesota legislature","http://www.leg.state.mn.us/","Minnesota","Exemplary","State","Act","https://www.revisor.mn.gov/laws/?id=156&doctype=chapter&year=2005&type=0","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2008_Minnesota_Chapter_156.pdf",,"This act should be read in conjunction with 2006 Minnesota Chapter 242.  Section 42 of this act requires that any person wishing to challenge another's voting eligibility must be a resident of the state of Minnesota.  Section 43 of this act prohibits election judges from being voter eligibility challengers and prohibits challengers from  handling or inspecting registration cards, files, or lists, from preparing in any manner any list of individuals who have or have not voted, from attempting to influence voting in any manner, and from conversing with a voter except to determine, in the presence of an election judge, whether the voter is eligible to vote in the precinct.","Voter suppression","https://www.revisor.mn.gov/revisor/pages/search_status/status_detail.php?b=House&f=HF1481&ssn=0&y=2005"
"Voting and Elections","Voter Rights","End voter intimidation and caging","End Voter Intimidation and Caging","2006 Minnesota Chapter 242",,,,2006,"Minnesota legislature","http://www.leg.state.mn.us/","Minnesota","Exemplary","State","Act","https://www.revisor.leg.state.mn.us/data/revisor/law/2006/0/2006-242.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2008_Minnesota_Chapter_242.pdf",,"This act should be read in conjunction with 2006 Minnesota Chapter 156.  Section 21 of this act prohibits challengers and the political parties that appointed them from compiling lists of voters to challenge on the basis of mail sent by a political  party that was returned as undeliverable or if receipt by the intended recipient was not acknowledged in the case of registered mail.","Voter suppression","https://www.revisor.mn.gov/revisor/pages/search_status/status_detail.php?b=Senate&f=SF2743&ssn=0&y=2006"
"Voting and Elections","Voter Rights","End voter intimidation and caging","End Voter Intimidation and Caging","2006 Washington Chapter 320",,,,2006,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://www.leg.wa.gov/CodeReviser/documents/sessionlaw/2006pam2.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2006_Washington_Chapter_320.pdf",,"This act requires that a challenge to a person's right to vote must be based on personal knowledge of that the challenged voter has been (a) convicted of a felony and the voter's civil rights have not been restored, (b) has been judicially declared ineligible to vote due to mental incompetency, (c) does not live at the residential address provided, in which case the challenger must either provide the challenged voter's actual residence on the challenge form, or submit listed pieces of evidence that he or she exercised due diligence to verify that the challenged voter is not eligible to vote, (d) he challenged voter will not be eighteen years of age by the next election; or (e) the challenged voter is not a citizen of the United States.  The act requires that all challenges to voter eligibility must be accompanied by an affidavit signed by the challenger which includes the factual basis for the challenge.  The challenge may not be based on unsupported allegations or allegations by anonymous third parties.","Voter suppression",
"Voting and Elections","Voting and election reform","Fusion voting","Fusion Voting","Fusion Voting Model Act",,,,2011,"Jeffrey Mongiello, Seton Hall Law Review","http://erepository.law.shu.edu/shlr/",,"Model","State","Bill","http://erepository.law.shu.edu/cgi/viewcontent.cgi?article=1396&context=shlr","www.alicelaw.org/Web_Folder/Voting_and_Elections/Fusions_Voting/Fusion_Voting_Model_Act.pdf",,"This bill allows a candidate for general election to accept the nomination of more than one party and appear on the ballot on multiple party lines with the nominating party's and candidate's consent and the candidate has not previously lost another party’s nomination.  Law begins at page 54 of the document",,
"Voting and Elections","Voting and election reform","Instant Run-Off Voting","Instant Run-Off Voting","Instant Runoff Voting Model Act",,,,2006,"Fair Vote","http://www.fairvote.org/",,"Model","State","Bill","http://archive.fairvote.org/media/irv/actionkits/generalstatutorylanguage.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Instant_Runoff_Voting_Model_Act.pdf",,"This bill implements the instant runoff voting method of determining winners in elections. The method produces a majority winner in a single election by simulating a series of runoff elections. All first choices  are counted, and if any candidate receives a majority of first choices, that candidate is elected.  If no  candidate receives a majority, the candidate with the fewest votes is eliminated, and all ballots are  recounted as one vote for each voter’s highest-ranked candidate who has not been eliminated.  The process of eliminating candidates and recounting ballots continues until one candidate receives a majority. ",,
"Voting and Elections","Voting and election reform","Instant Run-Off Voting","Instant Run-Off Voting","Model Ranked Voting Enabling Bill ",,,,,"Fair Vote","http://www.fairvote.org/",,"Model","State","Bill","http://www.fairvote.org/model-ranked-voting-enabling-bill-medium-detail#.UCFcSE1lTak","www.alicelaw.org/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Model Ranked_Voting_Enabling_Bill.pdf",,"This bill allows a city or county to conduct a local election using ranked choice voting in which voters rank the candidates for office in order of preference. Ranked choice voting elections may be used for single-winner elections, such as Mayor, or for elections that elect multiple candidates to office, such as city council. This bill authorizes ranked choice voting methods to be adopted by ballot measure, initiative ordinance, or charter amendment.",,
"Voting and Elections","Voting and election reform","Instant Run-Off Voting","Instant Run-Off Voting","Instant Runoff Voting for Plurality Requirement Jurisdictions Model Act",,,,2006,"Fair Vote","http://www.fairvote.org/",,"Model","State","Bill","http://archive.fairvote.org/media/irv/actionkits/specialstatutorylanguage.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Instant_Runoff_Voting_for_Plurality_Requirement_Jurisdictions_Model_Act.pdf",,"This bill implements the instant runoff voting method of determining winners in elections. The method simulates the ballot counts that would occur if all voters participated in a series of runoff elections with the weakest candidate eliminated after each round of counting. Each time a candidate is eliminated, all ballots are recounted, and each ballot counts as one vote for the voter’s highest-ranked candidate who has not been eliminated. Rounds proceed until there are two candidates remaining, and the candidate with the most votes is declared the winner. ",,
"Voting and Elections","Voting and election reform","Instant Run-Off Voting","Instant Run-Off Voting","2009 Missouri House Bill 463",,,,2009,"Missouri legislature","http://www.moga.mo.gov/","Missouri","Exemplary","State","Bill","http://www.house.mo.gov/billtracking/bills091/biltxt/intro/HB0463I.htm","www.alicelaw.org/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/2009_Missouri_House_Bill_463.pdf",,"This bill establishes procedures for instant runoff voting and the counting of ranked-choice ballots.  Any municipality or political subdivision may conduct instant runoff voting or use ranked-choice ballots.  Generally, if there is no simple majority winner, the candidate with the fewest votes is eliminated and the process continues by counting the votes for the next most preferred candidate on those ballots where the eliminated candidate was the top choice.  The process continues until a winner by simple majority emerges or a tie results.  The procedure for breaking ties will remain the same as specified in Chapter 115, RSMo.  If necessary, election officials may limit the number of choices a voter may rank to three.  Write-in votes will still be allowed.
",,"http://house.mo.gov/content.aspx?info=/bills091/action/aHB463.htm"
"Voting and Elections","Voting and election reform","Instant Run-Off Voting","Instant Run-Off Voting","2005 North Carolina Chapter 2006-192",,,,2005,"North Carolina legislature","http://www.ncleg.net/","North Carolina","Exemplary","State","Act","http://www.ncleg.net/Sessions/2005/Bills/House/PDF/H1024v7.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/2005_North_Carolina_Chapter_Session_Law_2006-192.pdf",,"This act requires the State Board of Elections to conduct a pilot program for instant runoff voting including up to 10 cities and 10 counties.  This act allows instant runoff voting in chosen jurisdictions for which voters may rank up to 3 candidates.  This act requires that a candidate must receive a threshold of 40% of the first-choice votes to win a primary and a majority of first-choice votes to win a nonpartisan election and runoff or nonpartisan primary and election.  If more than one seat is to be filled in the same race, the voter votes the same  way as if one seat were to be filled. The counting is the same as when one seat is to be filled, with one or two rounds as needed, except that counting is done separately for  each seat to be filled. The first counting results in the first winner. Then the second  count proceeds without the name of the first winner. This process results in the second winner. For each additional seat to be filled, an additional count is done without the names of the candidates who have already won.",,"http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2005&BillID=h1024"
"Voting and Elections","financing/lobbying","Judicial Campaign Public Financing","Judicial Campaign Public Financing","2001 North Carolina Chapter 158",,,,2001,"North Carolina legislature","http://www.ncleg.net/","North Carolina","Exemplary","State","Act","http://www.ncleg.net/Sessions/2001/Bills/Senate/PDF/S1054v10.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Judicial_Campaign_Public_Financing/2001_North_Carolina_Chapter_158.pdf",,"This act limits campaign financing in judicial elections at the appellate and supreme court levels; sets limits on campaign finance contributions, provides certain public financing to candidates who agreed to abide by financing restrictions and provides these restricted candidates with ""emergency funds"" when an opponent has large independent expenditures.",,"http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2001&BillID=S1054"
"Voting and Elections","financing/lobbying","Lobbying reform","Lobbying Reform","2011 Iowa Chapter 86",,,,2010,"Iowa legislature","https://www.legis.iowa.gov/index.aspx","Iowa","Exemplary","State","Act","https://www.legis.iowa.gov/DOCS/IowaActs/84/1/pdf/Chapter_0086.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Lobbying_Reform/2011_Iowa_Chapter_86.pdf",,"This act requires that lobbyist in the state electronically register before lobbying begins and that lobbyist identify all clients and whether the lobbyist intends to lobby the executive branch and allows for preregistration.  This act provides that the Secretary of the Senate to establish an internet site for the electronic filing of lobbyist registrations.                                   ",,"http://coolice.legis.iowa.gov/Cool-ICE/default.asp?Category=BillInfo&Service=DspHistory&ga=84&key=0148C"
"Voting and Elections","financing/lobbying","Lobbying reform","Lobbying Reform","1995 Alabama Chapter 95-194",,,,1995,"Alabama legislature","http://www.legislature.state.al.us/","Alabama","Exemplary","State","Act","http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0000077.PDF","www.alicelaw.org/Web_Folder/Voting_and_Elections/Lobbying_Reform/1995_Alabama_Chapter_95-194.pdf",,"This act prohibits: a public official or employee from serving for a fee as a lobbyist or otherwise represent clients including his or her employer before the board, agency, commission, department, or legislative body, of which he or she is a former member for a period of two years after he or she leaves such membership; certain public officials and administrators involved in purchasing or awarding of contracts, awards, or grants, among other things, from entering into, soliciting, or negotiating a contract, grant, or award with the governmental agency of which the person was a member or employee for a period of two years after he or she leaves the membership or employment of such governmental agency; certain public officials or employees who personally participate in the direct regulation, audit, or investigation of a private business, corporation, partnership, or individual within two years of his or her departure from such employment solicit or accept employment with such private business, corporation, partnership, or individual; and former public officials or public employees of the state may, within two years after termination of office or employment, act as attorney for any person other than himself or herself or the state, in connection with any judicial proceeding or other matter in which the state is a party.",,
"Voting and Elections","Voter registration","Mail-in registration/ballots","Mail-In Registration and Ballots","Vote by Mail Model Legislation",,,,2010,"Progressive States Network","http://www.progressivestates.org/",,"Model","State","Bill","http://www.progressivestates.org/sync/pdfs/MultiStateAgendaSiteDocuments/VotebyMail-ModelLegislation.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Mail-In_Registration_and_Ballots/Vote_by_Mail_Model_Legislation.pdf",,"This bill authorizes voting by mail and applications for permanent vote by mail status, requiring that applications be made available to every registered voter.  This bill establishes procedures for filing a permanent vote by mail application, procedures for the state upon receipt of a permanent vote by mail application, procedures for delivery of ballots for voting by mail and return of such ballots, and circumstances that may result in removal of a person's name from the permanent vote by mail status list.  This bill requires the designated election official to maintain a voter list of eligible voters applying for absentee ballots and permanent vote by mail status placed on the voter registration list.",,
"Voting and Elections","Voter registration","Mail-in registration/ballots","Mail-In Registration and Ballots","2005 Washington Chapter 241",,,,2005,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://apps.leg.wa.gov/documents/billdocs/2005-06/Pdf/Bills/Session%20Law%202005/1754-S.SL.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Mail-In_Registration_and_Ballots/2007_Washington_Chapter_241.pdf",,"This act authorizes a county auditor to conduct all primary, special, and general elections entirely by mail ballot and provides notice requirements and procedures for a county which decides to conduct an election by mail ballot.",,"http://dlr.leg.wa.gov/billsummary/default.aspx?year=2005&bill=1754"
