Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Corporate Tax Disclosure Requirements,Corporate Tax Policy and the Right to Know,,1993,The Fiscal Policy Institute,http://fiscalpolicy.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Corporate_Tax_Disclosure_Requirements/1993_Corporate_Tax_Policy_and_the_Right_to_Know_Report.pdf,,,A report on the benefit of increased corporate tax reporting as well as increasing public reporting of corporate tax information.,,,,,
Time off for Children's Educational Activities,1994 California Chapter 1290,Family-School Partnership Act,1994,California State Assembly,http://assembly.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Time_Off_for_Childrens'_Educational_Activities/1994_California_Chapter_1290.pdf,,,"Requires employers with 25 or more employees to allow employees to use as much as 40 hours per school year in preexisting paid leave to attend their childrens' school activities, for custodial children in grades K-12.",1994 California Assembly Bill 2590,http://www.leginfo.ca.gov/pub/93-94/bill/asm/ab_2551-2600/ab_2590_bill_940126_introduced,http://www.leginfo.ca.gov/pub/93-94/bill/asm/ab_2551-2600/ab_2590_bill_history,Small Necessities Leave,http://www.cde.ca.gov/ls/pf/pf/laborcode.asp
Unemployment Insurance Alternative Base Period,1994 Washington Chapter 3,,1994,Washington Legislature,http://www.leg.wa.gov/pages/home.aspx,Washington ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Alternative_Base_Period/1994_Washington_Chapter_3.pdf,,,This act requires the Department of Labor to promptly contact employers to request assistance in obtaining wage information for the last completed calendar quarter if it has not been reported at the time of initial application for an unemployment insurance when using an alternative base wage.,1994 Washington Senate Bill 6073; http://apps.leg.wa.gov/documents/billdocs/1993-94/Pdf/Bills/Senate%20Bills/6073.pdf ,,http://dlr.leg.wa.gov/billsummary/default.aspx?year=1993&bill=6073,,
Big Box Retailing,1994 Fort Collins Ordinance 111,,1994,Fort Collins City Council,http://www.fcgov.com/council/,Colorado,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/1994_Fort_Collins_Colorado_Ordinance_111.pdf,,,"An ordinance adopting a six-month moratorium on development of stores larger than 80,000 square feet. The city used the time to review the design, transportation, and other planning issues posed by big box retailers, and to make changes to its planning and zoning rules.",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Anti-Strategic Lawsuits Against Public Participation (SLAPP),1994 Massachusetts Chapter 231 Section 59H,Strategic Litigation Against Public Participation; Special Motion to Dismiss,1994,Massachusetts Legislature,http://www.malegislature.gov/,Massachusetts,Exemplary,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/1994_Massachusetts_Chapter_231_Section_59H.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/1994_Massachusetts_Chapter_231_Section_59H.pdf,,"This law restricts Strategic Lawsuits Against Public Participation. SLAPPs are cases by corporations against a party's exercise of its right of petition or of free speech, used to silence and harass critics by forcing them to spend money to defend these suits. In any case in which a SLAPP victim asserts that the civil claims against them are based on exercising of their right of petition under the constitution of the United States or of the commonwealth, the party may bring a special motion to dismiss.",,,,,
Lobbying Reform,1995 Alabama Chapter 95-194,,1995,Alabama legislature,http://www.legislature.state.al.us/,Alabama,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Lobbying_Reform/1995_Alabama_Chapter_95-194.pdf,,,"This act prohibits: a public official or employee from serving for a fee as a lobbyist or otherwise represent clients including his or her employer before the board, agency, commission, department, or legislative body, of which he or she is a former member for a period of two years after he or she leaves such membership; certain public officials and administrators involved in purchasing or awarding of contracts, awards, or grants, among other things, from entering into, soliciting, or negotiating a contract, grant, or award with the governmental agency of which the person was a member or employee for a period of two years after he or she leaves the membership or employment of such governmental agency; certain public officials or employees who personally participate in the direct regulation, audit, or investigation of a private business, corporation, partnership, or individual within two years of his or her departure from such employment solicit or accept employment with such private business, corporation, partnership, or individual; and former public officials or public employees of the state may, within two years after termination of office or employment, act as attorney for any person other than himself or herself or the state, in connection with any judicial proceeding or other matter in which the state is a party.",,,,,
Transparent Rate Change Approval Process,1996 California Assembly Bill 2535,,1996,California Legislature,,California,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Transparent_Rate_Change_Approval_Process/1996_California_Assembly_Bill_2535.pdf,,,"This bill would provide that, in any event, a rate change application is deemed approved 90 days after the rate application is received unless disapproved or extraordinary circumstances exist. It would make related changes. The bill would also provide that any application by an insurer for a rate change that results in a premium decrease shall be deemed approved 45 days after public notice unless during that time the commissioner finds the rate to be excessive, inadequate, unfairly discriminatory, or otherwise in violation of the laws regulating insurance rates
 .",1996 California Assembly Bill 2535,,http://www.consumerwatchdog.org/feature/text-proposition-103,,
Transit Oriented Development,1997 California Chapter 622,,1997,California Legislature,http://www.legislature.ca.gov/,California,Exemplary ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Transit-Oriented_Development/1997_California_Chapter_622.pdf,,,"An Act to amend California's Streets and Highways Code, relating
to transportation.",1997 California Senate Bill 45,http://www.leginfo.ca.gov/pub/97-98/bill/sen/sb_0001-0050/sb_45_bill_19961202_introduced.pdf,http://info.sen.ca.gov/pub/97-98/bill/sen/sb_0001-0050/sb_45_bill_19971003_chaptered.html,"Mass Transit, Transit Oriented Development, Public Transportation",
Equalized School Funding,Vermont Act 60 of 1997,Equal Educational Opportunity Act of 1997,1997,Vermont Legislature,http://www.leg.state.vt.us/,Vermont,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Equalized_School_Funding/1997_Vermont_House_Bill_527.pdf,,,"Act 60 accomplishes its goal of educational equity by replacing dozens of widely varying local school tax rates with a single statewide property tax. In addition, the gasoline tax was raised by 4 cents a gallon to fund education",1997 Vermont House Bill 527,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/1998/bills/intro/H-527.HTM,,"Property Tax, School Funding, Adequacy Based Funding",
Equalized School Funding,New Mexico Laws 1997 Chapter 32,,1997,New Mexico Legislature,http://www.nmlegis.gov/lcs/leg.aspx?T=R,New Mexico,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Equalized_School_Funding/1997_New_Mexico_Senate_Bill_100.pdf,,," In 1997 the legislature passed a revised school funding formula (S.B. 100), increasing the share of funds to around 84 percent and targeting more of these funds to at-risk students. Money raised in individual school districts may go towards construction and maintenance, but not for school operating costs.",1997 New Mexico Senate Bill 100,http://www.nmlegis.gov/Sessions/97%20Regular/bills/senate/SB0100.pdf,http://www.nmlegis.gov/lcs/_session.aspx?chamber=S&legtype=B&legno=100&year=97,"Property Tax, School Funding, Adequacy Based Funding, At-risk students, ",
PerformanceStat,1997 Louisiana Act 1465,The Louisiana Government Performance and Accountability Act,1997,Louisiana Legislature,http://www.legis.state.la.us/,Louisiana,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/PerformanceStat/1997_Louisiana_Act_1465.pdf,,,An act to enable the use of a performance measurement system as part of the state budget process,1997 Louisiana House Bill 2476,http://legis.la.gov/leg_docs/97RS/CVT48/OUT/0000BSHW.PDF,,"StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",http://doa.louisiana.gov/OPB/pbb/enabling.htm
Time off for Children's Educational Activities,1997 Vermont Act 41,,1997,Vermont Legislature,http://www.leg.state.vt.us/,Vermont,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Time_Off_for_Childrens'_Educational_Activities/1997_Vermont_Act_41.pdf,,,"Requires employers to allow employees to utilize already provided paid leave, or unpaid leave, to take time off work to attend their childrens' school activities.",1997 Vermont House Bill 192,http://www.leg.state.vt.us/DOCS/1998/BILLS/INTRO/H-192.HTM,,Small Necessities Leave,
Time off for Children's Educational Activities,1997 California Chapter 157,Amendment to Family-School Partnership Act,1997,California State Assembly,http://assembly.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Time_Off_for_Childrens'_Educational_Activities/1997_California_Chapter_157.pdf,,,Expands family-school partnership act to include activities for children in licensed day care facilities. Changes maximum hours granted to employees from 40 per school year to 40 per calendar year.,1997 California Assembly Bill 47,http://www.leginfo.ca.gov/pub/97-98/bill/asm/ab_0001-0050/ab_47_bill_19961202_introduced.pdf,http://www.leginfo.ca.gov/pub/97-98/bill/asm/ab_0001-0050/ab_47_bill_19970804_history.html,Small Necessities Leave,
Cooperative Development,Ohio Substitute House Bill 434 Revised Code Section 701.07,,1997,Ohio Legislature,http://www.legislature.state.oh.us/,Ohio,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Cooperative_Development/Ohio_Substitute_House_Bill_434_Revised_Code_Section_701.07.pdf,,,"An act which allows municipal corporations, counties, townships, the state, and certain persons and private entities
to enter into cooperative economic development agreements.",1997 Ohio House Bill 434,http://www.legislature.state.oh.us/bills.cfm?ID=122_HB_434_1,,"Cooperative Development, Economic Development, Development Bonds, Enterprise Zones, Cooperative Economic Development Agreement, CEDA, Joint Economic Development Agreement, ",
Ban on Corporate Environmental Violators,1997 Wayne Corporate Accountability Ordinance ,Wayne Township Environmental Protection Ordinance,1997,Wayne City Council,http://www.ci.wayne.mi.us/council.shtml,Pennsylvania,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Ban_on_Corporate_Environmental_Violators/1997_Wayne_Corporate_Accountability_Ordinance.pdf,,,Three-strikes your out ordinance for companies that break environmental rules. ,,,,,
Confidentiality in Access to State Benefits and Programs,Model City Policy to Protect Client Confidentiality,,1997,American Civil Liberties Union (cited in National Employment Law Project report),http://www.aclu.org/,,Model,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Immigrant_Rights/Confidentiality_in_Access_to_State_Benefits_and_Programs/Model_City_Policy_to_Protect_Client_Confidentiality.pdf,,,"This ordinance/executive order prohibits agencies, officers, or employees from inquiring about the immigration status of any individual applying for or receiving any service of benefit, on behalf of oneself or another, unless immigration status information is specifically required by federal or state law as a condition of receipt of such service or benefit and where immigration status information is a condition of receipt of the service or benefit, the agency, officer, or employee shall make only those inquiries necessary to determine whether an applicant or recipient is an immigrant qualified for such service or benefit.  This ordinance/executive order requires that no agency, officer, or employee shall record information regarding the immigration status of an applicant for or recipient of any service or benefit unless required by federal or state law. Where federal or state law requires the recording of immigration status information, only that information specifically required shall be recorded.",,,,,
Living Wage Requirements in Government Contracts,1997 City of Minneapolis Living Wage Resolution,,1997,Minneapolis City Council,http://www.minneapolismn.gov/council/index.htm,Minnesota,Exemplary,Municipal,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/1997_City_of_Minneapolis_Living_Wage_Resolution.pdf,,,"A living wage policy requiring businesses benefiting from $100,000 or 
more in city assistance in one year to pay employees a living wage. The 
wage is defined and indexed as 110%of the federal poverty level for
 a family of four. Recipients of such assistance must also set a goal 
that 60% of new jobs will be held by city residents. Additional 
provisions prohibit privatization of services currently performed by 
city employees that would result in lower wages, and preferences for 
assistance to union-friendly businesses. ",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hiring, Collective Bargaining",
Living Wage Requirements in Government Contracts,Saint Paul Living Wage Ordinance,,1997,Joint Minneapolis/Saint Paul Living Wage Jobs Task Force,http://www.ilsr.org/,Minnesota,Exemplary,Municipal,Other ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/Saint_Paul_Living_Wage_Ordinance.pdf,,,"An act requiring recipients of $100,000 or more of city economic development assistance in one year to pay employees a living wage, defined as 110% of the federal poverty level for a family of four, or 100% of poverty line for companies who provide health
 insurance. In addition, at least 60%of new jobs created as a 
result of such assistance must go to St. Paul residents.",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hiring, Health Care",
Anti-Corporate Farming,1998 Mississippi Chapter 537,,1998,Mississippi Legislature ,http://billstatus.ls.state.ms.us/,Mississippi,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Anti-Corporate_Farming/1998_Mississippi_Chapter_537.pdf,,,"Air and water permits; authorize DEQ to exempt agricultural and other operations.

",1998 Mississippi Senate Bill 2895,,http://billstatus.ls.state.ms.us/1998/history/SB/SB2895.htm,,
Regional Investment Via Private Equity Funds,1998 Massachusetts Chapter 259,,1998,Massachusetts Legislature,http://www.malegislature.gov/,Massachusetts,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Regional_Investment_Via_Private_Equity_Funds/1998_Massachusetts_Chapter_259.pdf,,,,1998 Massachusetts House Bill 5479,,,,
Public Financing of Elections,1998 Massachusetts Chapter 394,Clean Elections Law,1998,Massachusetts legislature,http://www.malegislature.gov/,Massachusetts,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/1998_Massachusetts_Chapter_394.pdf,,,"This act: creates a voluntary campaign finance system under which candidates for state office who agree to campaign spending limits, 100 contribution limits, and who raise a minimum number of small contributions can obtain partial public funding of their campaigns, starting with the 2002 election; and prohibits soft money contributions and requires candidates to electronically file disclosure reports and gives the public electronic access to the reports.",,,,,
Living Wage Requirements in Government Contracts,1998 Oakland Ordinances Chapter 2 28,Oakland Living Wage Ordinance,1998,Oakland City Council,http://www2.oaklandnet.com/Government/o/CityCouncil/index.htm,California,Exemplary,Municipal,Act/Ordinance ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/1998_Oakland_Ordinances_Chapter_2_28.pdf,,,"An act which requires companies or non-profits that enter into service contracts with the city worth at least $25,000 or benefit from at least $100,000 in city subsidies in a year to pay workers a minimum of $9.25 an hour($8.00 if the firm provides health benefits). The minimum wages are adjusted annually. The ordinance also entitles such workers to 12 paid days off per year. It also allows that a collective bargaining agreement may provide that such agreement may supersede the requirements of the living
 wage ordinance.",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Collective Bargaining ",
Living Wage Requirements in Government Contracts,1998 Detroit Ordinance Number 45-98,Detroit Living Wage Ordinance,1998,Detroit City Council,http://www.detroitmi.gov/CityCouncil.aspx,Michigan,Exemplary,Municipal,Citizens' Initiative,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/1998_Detroit_Ordinance_Number_45_98.pdf,,,"An ordinance that requires city service contractors or recipients 
of city financial assistance of $50,000 or more to pay employees a wage 
equivalent to the federal poverty line for a family of four.",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development",
Minimum Wage Increase and Index,1998 Washington Initiative 688,,1998,Washington Initiative,http://www.leg.wa.gov/pages/home.aspx,Washington,Exemplary,State,Citizens' Initiative,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Minimum_Wage-Increase_and_Index/1998_Washington_Initiative_688.pdf,,,Provides for annual minimum wage increases for two years and indexing of the minimum wage to a consumer price index measure thereafter.,,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development, ",https://wei.sos.wa.gov/agency/osos/en/PreviousElections/Documents/Voters'Pamphlets/1998%20WA%20St.pdf
Stop Racial Profiling by Police,1999 North Carolina Senate Bill 76 ,,1999,North Carolina Legislature,http://www.ncleg.net/,North Carolina,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Stop_Racial_Profiling_by_Police/1999_North_Carolina_Senate_Bill_76.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Stop_Racial_Profiling_by_Police/1999_North_Carolina_Senate_Bill_76.pdf,,"The act requires the Division of Criminal Statistics to To collect, correlate, and maintain information regarding traffic law enforcement by State law enforcement officers that includes the characteristics of the drivers stopped (such as race/ethnicity, age and gender) as well as specific details about the stop (such as initial violation, search activity/consent of driver, and resulting citation/arrest).",,,http://www.ncga.state.nc.us/gascripts/BillLookUp/BillLookUp.pl?Session=1999&BillID=s76.,,
Unemployment Insurance Coverage For Family Leave,1999 North Carolina Chapter 196,,1999,North Carolina legislature,http://www.ncleg.net/,North Carolina,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Family_Leave/1999_North_Carolina_Chapter_196.pdf,,,This act categorizes separation or discharge solely due to an inability to accept work during a particular shift as a result of an undue family hardship as constituting good cause for leaving work.  Benefits paid on the basis of this section shall not be charged to the account of the employer.,1999 North Carolina House Bill 277; http://www.ncleg.net/Sessions/1999/Bills/House/PDF/H277v1.pdf,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=1999&BillID=H277&submitButton=Go,,
Agricultural Cooperative Subsidies,1999 Missouri House Bill 888,,1999,Missouri Legislature,http://www.moga.mo.gov/,Missouri,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Agricultural_Cooperative_Subsidies/1999_Missouri_House_Bill_888.pdf,,,"This bill allows the Missouri Agricultural and Small Business
Development Authority to make grants for the creation,
development, and operation of rural agricultural businesses
whose projects add value to agricultural products and aid the
economy of a rural community.",1999 Missouri House Bill 888,http://www.house.mo.gov/content.aspx?info=/bills99/biltxt99/intro99/HB0888I.htm,http://www.house.mo.gov/content.aspx?info=/bills99/action99/aHB888.htm,"Small Business, Agriculture, Rural Business, Economic Development, Workforce Development, Tax Credits",http://www.newrules.org/agriculture/rules/cooperative-ownership/cooperative-tax-credit-missouri
Big Box Retailing,1999 Easton Maryland Ordinance 390 ,Moratorium Ordinance,1999,Easton Town Council,http://www.town-eastonmd.com/,Maryland,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/2000_Easton_Maryland_Ordinance_399.pdf,,,An ordinance to enact a temporary  moratorium to allow time for residents and town officials to consider the impacts of large-scale retail and amend the town zoning law accordingly.,,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Anti-Sweatshop Procurement Policies,1999 Bangor Maine Clean Clothes Resolution,,1999,Bangor City Council,http://www.bangormaine.gov/index.php?id=243&sub_id=219,Maine,Exemplary,Municipal,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Anti_Sweatshop_Procurement_Policies/1999_Bangor_Maine_Clean_Clothes_Resolution.pdf,,,"purchasing policy, establishing guidelines for buying clothing, footwear and other products from ""responsible contractors."" Bidders to supply items such as police and fire uniforms, footwear and recreational equipment will be asked a series of questions: Where are the goods made? Is child or forced labor used there? Has the manufacturing facility been determined to have violated international labor standards? Are unions allowed? What are the wages like? The city then takes this information into account as one factor in deciding who gets the city’s business. ",,,,"Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",
Pesticide Ban,2000 Halifax By-law No. P-800,Pesticide By-law,2000,Council of the Halifax Regional Municipality,http://www.halifax.ca/council/,Other,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Pesticide_Ban/2000_Halifax_Bylaw_P_800.pdf,,,,,,, By-law No. P-800,
